ID,Dataset,Code,Line_Count,Language,Model,Label
0,AIG,"# N = input()   # 単純な入力
# input = list(input()) # ひとかたまりの文字列をリスト化
N = int(input())  # 整数一つ
# input = input().split()   # スペース区切りを文字としてリスト化
# X,Y = map(int,input().split())  # ２個や３個の整数をそれぞれ取得
# input = list(map(int,input().split()))

cnt = 0

while N !=1:
    if N%2==0:
        N = N//2
    else:
        N =3*N+1
    cnt += 1

print(cnt+2)",17,Python,Human,0
1,AIG,"A, B = map(int, input().split())
numbers = range(A, B+1)
count = 0
for i in numbers:
    m = str(i)
    rm = ''.join(list(reversed(m)))
    if m == rm:
        count += 1
print(count)",9,Python,Human,0
2,AIG,"m = int(input())

a = list(map(int, input().split(' ')))

a.sort()

p = []

for i in range(m - 1):
    a1 = a.pop(1)
    a2 = a.pop(0)
    if len(a) != 0:
        a.insert(a2 - a1, 0)
        p.append((a2, a1))
    else:
        ans_m = a1 - a2
        p.append((a1, a2))

print(ans_m)

for i in p:
    print(i[0], i[1])",22,Python,Human,0
3,AIG,"from collections import deque
import numpy as np
N,M = map(int,input().split(' '))
#G = {i:[] for i in range(1,N+1)}

GM = np.zeros((N,N)).astype(np.int)

for j in [0]*M:
	u,v = map(int,input().split(' '))
	GM[u-1,v-1] = 1
	#G[u].append(v)
S,T = map(int,input().split(' '))

G3M = np.dot(np.dot(GM,GM),GM)

#G3 = {i: np.where(G3M[i-1]>0)[0] for i in range(1,N+1)}

#dq =deque([S])
st = [S]
visited = [S]
ans = 1
exist = True
while(exist):
	new_st = []
	exist = False
	for cand in st:
		#for n in G3[cand]:
		ls = np.where(G3M[cand-1]>0)[0]
		for n in ls:
			n = n+1
			if n == T:
				print(ans)
				exit()
			if not n in visited:
				exist = True
				visited.append(n)
				new_st.append(n)
	st = new_st
	ans += 1
print(-1)







",47,Python,Human,0
4,AIG,"import math
import os
import sys

if os.getenv(""LOCAL""):
    sys.stdin = open(""_in.txt"", ""r"")

sys.setrecursionlimit(2147483647)
INF = float(""inf"")
IINF = 10 ** 18
MOD = 10 ** 9 + 7


def get_divisors(n):
    """"""
    n の約数をリストで返す
    :param int n:
    :rtype: list of int
    """"""
    ret = []
    for i in range(1, int(math.sqrt(n)) + 1):
        if n % i == 0:
            ret.append(i)
            if n // i != i:
                ret.append(n // i)
    return ret


def get_factors(n):
    """"""
    素因数分解
    :param int n:
    :rtype: list of int
    """"""
    if n <= 1:
        return []

    ret = []
    while n > 2 and n % 2 == 0:
        ret.append(2)
        n //= 2
    i = 3
    while i <= math.sqrt(n):
        if n % i == 0:
            ret.append(i)
            n //= i
        else:
            i += 2
    ret.append(n)
    return ret


A, B = list(map(int, sys.stdin.readline().split()))

fa = set(get_factors(A))
fb = set(get_factors(B))
ans = len(fa & fb) + 1
print(ans)
",58,Python,Human,0
5,AIG,"n=int(input())

m=-1

for i in range(3,1000,2):
    if i*i==8*n+1:
        m=(1+i)//2

if m==-1:
    print('No')
    exit(0)

cnt=1
s=[[0] for _ in range(n+1)]

for i in range(1,m+1):
    for j in range(i+1,m+1):
        s[i][0]+=1
        s[j][0]+=1

        s[i].append(cnt)
        s[j].append(cnt)

        cnt+=1

print('Yes')
print(m)
for i in range(1,m+1):
    print(' '.join([str(c) for c in s[i]]))",29,Python,Human,0
6,AIG,"import sys
import heapq
K, T = map(int, input().split())
m = [-int(i) for i in input().split()]
heapq.heapify(m)

if T == 1:
    print(K-1)
    sys.exit()

while len(m) > 0:
    l = heapq.heappop(m)
    if len(m) == 0:
        heapq.heappush(m, l)
        break
    r = heapq.heappop(m)
    if r+1 == 0:
        continue
    else:
        heapq.heappush(m, l+1)
        heapq.heappush(m, r+1)
print(-m[0])",22,Python,Human,0
7,AIG,"N = int(input())
if N>=30:
    print(""YES"")
else:
    print(""NO"")",5,Python,Human,0
8,AIG,"m = int(input())
if m > 12:
  print(m+6)
else:
  print(m+24)",5,Python,Human,0
9,AIG,"a, b = [int(input()) for _ in range(2)]
c = [1, 2, 3]
c.remove(a)
c.remove(b)
print(*c)",5,Python,Human,0
10,AIG,"A, B, M = map(int,input().split())
a = list(map(int,input().split()))
b = list(map(int,input().split()))
minimum = a[0]+b[0]

for k in range(M):
    x,y,c = map(int,input().split())
    tmp = a[x-1]+a[y-1]-c
    if minimum > tmp:
        minimum = tmp

#a.sort()
#b.sort()

for i in a:
    #if i + b[0] > minimum:
        #break
    for j in b:
        tmp = i + j
        if minimum > tmp:
            minimum = tmp
        else:
            break

print(minimum)",25,Python,Human,0
11,AIG,"import math
import fraction
from functools import reduce


def lcm_base(x, y):
    return (x * y) // fraction.gcd(x, y)


def lcm_list(numbers):
    return reduce(lcm_base, numbers, 1)


n = int(input())
a = [int(i) for i in input().split()]

ans1 = 0

lcm = lcm_list(a)

for num in a:
    ans1 += (lcm - 1) % num

print(ans1)
",24,Python,Human,0
12,AIG,"n = int(input())
l = list(map(int, input().split()))
cnt = 0
for i in range(n-2):
    for j in range(i+1,n-1):
        for k in range(j+1,n):
            if l[i] == l[j] or l[i] == l[k] or l[j]==l[k]:
                continue
            if l[i]+l[j] > l[k] and abs(l[i]-l[j]) < l[k]:
                if l[i]+l[k] > l[j] and abs(l[i]-l[k]) < l[j]:
                    if l[j]+l[k] > l[i] and abs(l[j]-l[k]) < l[i]:
                        cnt+=1
                    
print(cnt)",14,Python,Human,0
